월,날짜,시간,온도
2,14,1000,7.4
2,14,1100,7.5
2,14,1200,6.4
2,14,1300,6.2
2,14,1400,6.3
2,14,1500,6.1
2,14,1600,6
2,14,1700,6.5
2,14,1800,6
2,14,1900,5.1
2,14,2000,4.9
2,14,2100,4.9
2,14,2200,5.1
2,14,2300,3.1
2,15,0,1.8
2,15,100,1.4
2,15,200,2.6
2,15,300,2.4
2,15,400,1.2
2,15,500,1
2,15,600,0.1
2,15,700,-0.4
2,15,800,-2.2
2,15,900,-2.2
2,15,1000,-2.3
2,15,1100,-2.8
2,15,1200,-2.8
2,15,1300,-2.2
2,15,1400,-2.5
2,15,1500,-2.7
2,15,1600,-3.2
2,15,1700,-3.4
2,15,1800,-5.3
2,15,1900,-5.5
2,15,2000,-6
2,15,2100,-7
2,15,2200,-5.9
2,15,2300,-2.7
2,16,0,-1.5
2,16,100,-0.7
2,16,200,0
2,16,300,-1.4
2,16,400,-3.3
2,16,500,-4.4
2,16,600,-3.7
2,16,700,-3.3
2,16,800,-5.2
2,16,900,-5.9
2,16,1000,-4.7
2,16,1100,-4.6
2,16,1200,-5.1
2,16,1300,-5.2
2,16,1400,-5.5
2,16,1500,-6.1
2,16,1600,-6.1
2,16,1700,-6.2
2,16,1800,-6.8
2,16,1900,-7.4
2,16,2000,-7.3
2,16,2100,-8
2,16,2200,-8.1
2,16,2300,-7.5
2,17,0,-7.2
2,17,100,-7.2
2,17,200,-6.7
2,17,300,-6
2,17,400,-6.3
2,17,500,-5.9
2,17,600,-5.7
2,17,700,-6.3
2,17,800,-6.7
2,17,900,-6.9
2,17,1000,-7
2,17,1100,-7.3
2,17,1200,-7.2
2,17,1300,-8.7
2,17,1400,-8.3
2,17,1500,-8.1
2,17,1600,-8
2,17,1700,-8.1
2,17,1800,-8.1
2,17,1900,-8.3
2,17,2000,-8.2
2,17,2100,-8.6
2,17,2200,-8.1
2,17,2300,-5.7
2,18,0,-5.2
2,18,100,-3.8
2,18,200,-3.8
2,18,300,-2.6
2,18,400,-2.1
2,18,500,-1.5
2,18,600,-1
2,18,700,-1.6
2,18,800,-2.5
2,18,900,-3.1
2,18,1000,-3.6
2,18,1100,-4.7
2,18,1200,-5.5
2,18,1300,-6.5
2,18,1400,-7.2
2,18,1500,-6
2,18,1600,-7.5
2,18,1700,-7.3
2,18,1800,-8.6
2,18,1900,-8.4
2,18,2000,-8.8
2,18,2100,-8.8
2,18,2200,-7.3
2,18,2300,-0.6
2,19,0,1.4
2,19,100,3.4
2,19,200,5
2,19,300,6.9
2,19,400,9.3
2,19,500,9.2
2,19,600,9.2
2,19,700,8.7
2,19,800,7.3
2,19,900,6.5
2,19,1000,6.3
2,19,1100,6.7
2,19,1200,6.8
2,19,1300,7.3
2,19,1400,7.4
2,19,1500,7.6
2,19,1600,8.2
2,19,1700,8.1
2,19,1800,8.7
2,19,1900,9.2
2,19,2000,8.8
2,19,2100,8.2
2,19,2200,8.4
2,19,2300,10
2,20,0,11
2,20,100,12.1
2,20,200,14
2,20,300,15.3
2,20,400,15.8
2,20,500,16
2,20,600,16.4
2,20,700,15.6
2,20,800,13.1
2,20,900,7.3
2,20,1000,6.6
2,20,1100,10.4
2,20,1200,10.3
2,20,1300,9.2
2,20,1400,8.8
2,20,1500,9.6
2,20,1600,9.4
2,20,1700,9.3
2,20,1800,9.5
2,20,1900,10.3
2,20,2000,10.6
2,20,2100,10.2
2,20,2200,9.8
2,20,2300,12.7
2,21,0,15.1
2,21,100,18
2,21,200,19.4
2,21,300,19.799999
2,21,400,19.5
2,21,500,19.5
2,21,600,19.200001
2,21,700,17.799999
2,21,800,16.1
2,21,900,15.5
2,21,1000,15.2
2,21,1100,15
2,21,1200,14.8
2,21,1300,12.7
2,21,1400,11.7
2,21,1500,11.1
2,21,1600,8
2,21,1700,7.1
2,21,1800,6.7
2,21,1900,5.6
2,21,2000,4.7
2,21,2100,4.8
